"filename", "language", "JavaScript", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\.serverless\cloudformation-template-create-stack.json", "JSON", 0, 82, 0, 0, 0, 82
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\.serverless\cloudformation-template-update-stack.json", "JSON", 0, 368, 0, 0, 0, 368
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\.serverless\serverless-state.json", "JSON", 0, 530, 0, 0, 0, 530
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\asignar.js", "JavaScript", 33, 0, 0, 2, 6, 41
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\crear.js", "JavaScript", 37, 0, 0, 6, 9, 52
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\crear2.js", "JavaScript", 18, 0, 0, 0, 4, 22
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\initDb.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\package-lock.json", "JSON", 0, 2586, 0, 0, 1, 2587
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\package.json", "JSON", 0, 31, 0, 0, 1, 32
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\serverless.yml", "YAML", 0, 0, 30, 0, 3, 33
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\app.js", "JavaScript", 16, 0, 0, 0, 6, 22
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\authController.js", "JavaScript", 61, 0, 0, 1, 13, 75
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\cargaAguaController.js", "JavaScript", 145, 0, 0, 7, 17, 169
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controlerCargaPropietario.js", "JavaScript", 49, 0, 0, 6, 9, 64
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controllerCargaCliente.js", "JavaScript", 16, 0, 0, 0, 4, 20
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controllerPagosPropietario.js", "JavaScript", 53, 0, 0, 6, 12, 71
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controllerPerfil.js", "JavaScript", 57, 0, 0, 0, 11, 68
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controllerTipoDeCamion.js", "JavaScript", 78, 0, 0, 0, 19, 97
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\controllerUsuario.js", "JavaScript", 142, 0, 0, 6, 24, 172
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\pagodeCargaAguaController.js", "JavaScript", 294, 0, 0, 33, 53, 380
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\controllers\refreshToken.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\database\database.js", "JavaScript", 30, 0, 0, 3, 6, 39
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\index.js", "JavaScript", 19, 0, 0, 1, 4, 24
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\middleware\verifyToken.js", "JavaScript", 26, 0, 0, 0, 8, 34
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\models\cargaAgua.js", "JavaScript", 16, 0, 0, 0, 4, 20
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\models\pagodeCargaAgua.js", "JavaScript", 15, 0, 0, 1, 4, 20
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\models\tipoDeCamion.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\models\usuarios.js", "JavaScript", 52, 0, 0, 0, 3, 55
"c:\Users\mau69\Documents\prueba\backendsistemaintegrado2\backendsistemaintegrado\backendsistemaintegrado\src\routes\routes.js", "JavaScript", 63, 0, 0, 9, 21, 93
"Total", "-", 1241, 3597, 30, 81, 248, 5197
